,sents,chapter,entities,chunks,label
51,"Again, however, it was noticed that these loops in each planet's spirals are unequal in different signs of the zodiac, so that in some places the planet would retrogress through a longer arc of the zodiac, at others through a shorter, and now for a longer, now for a shorter time.",1.0,[],"[it, these loops, each planet's spirals, different signs, the zodiac, some places, the planet, a longer arc, the zodiac, others, a shorter time]",0
52,Nor is the increment of brightness of a retrograde planet always the same.,1.0,"[('retrograde', 'ASTR')]","[the increment, brightness, a retrograde planet]",0
53,"Because, if one were to compute the times and distances between the midpoints of the retrogressions, neither times nor arcs would be equal, nor would any of the times answer to its arc in the same proportion.",1.0,[],"[the times, distances, the midpoints, the retrogressions, the times, its arc, the same proportion]",0
54,"Nevertheless, for each planet there was a certain sign of the zodiac from which, through the semicircle to the opposite sign in either direction, all those things successively increased.",1.0,[],"[each planet, a certain sign, the zodiac, the semicircle, the opposite sign, either direction, all those things]",0
55,"From these observations it came to be understood that for any planet there are two inequalities mixed together into one, the first of which completes its cycle with the planet's return to the same sign of the zodiac, the other with the sun's return to the planet.",1.0,[],"[these observations, it, any planet, two inequalities, its cycle, the planet's return, the same sign, the zodiac, the sun's return, the planet]",0
56,Now the causes and measures of these inequalities could not be investigated without separating the mixed inequalities and looking into each one by itself.,1.0,[],"[the causes, measures, these inequalities, the mixed inequalities, itself]",0
57,"They therefore thought they should begin with the first inequality, it being more nearly constant and simple, since they saw an example of it in the sun's motion, without the interference of the other inequality.",1.0,[],"[They, they, the first inequality, it, they, an example, it, the sun's motion, the interference, the other inequality]",0
58,"But in order to separate the second inequality from this first one, they could not do anything but consider the planets on those nights at whose beginning they rise while the sun is setting, which thence were called ἀκρονυχίους [acronychal, or  ""night rising""].",1.0,"[('rise', 'ASTR')]","[order, the second inequality, they, anything, the planets, those nights, whose beginning, they, the sun, which thence]",0
59,"For since the presence and conjunction of the sun makes them go faster than usual, and the opposition of the sun has the opposite effect, before and after these points they are surely much removed from the positions they were going to occupy through the action of the first inequality.",1.0,"[('conjunction', 'ASTR'), ('opposition', 'ASTR')]","[the presence, conjunction, the sun, them, the opposition, the sun, the opposite effect, these points, they, the positions, they, the action, the first inequality]",0
60,"Therefore, at the very moments of conjunction with and opposition to the sun they are traversing those very positions that are their own.",1.0,"[('conjunction', 'ASTR'), ('opposition', 'ASTR')]","[the very moments, conjunction, opposition, the sun, they, those very positions]",0
61,"But since they cannot be seen when in conjunction with the sun, only the opposition to the sun remains as suitable for this purpose.",1.0,"[('conjunction', 'ASTR'), ('opposition', 'ASTR')]","[they, conjunction, the sun, only the opposition, the sun, this purpose]",0
62,"But since the sun's mean and apparent motions*  are two different things, for the sun, too, is subject to the first inequality, the question is raised which of these releases the planets from the second inequality, and whether the planets should be considered when at opposition to the sun's apparent position or its mean position.",1.0,"[('opposition', 'ASTR')]","[the sun's mean and apparent motions, two different things, the sun, the first inequality, the question, these releases, the second inequality, the planets, opposition, the sun's apparent position, its mean position]",0
63,"Ptolemy chose the mean motion, thinking that the difference (if any) between taking the mean sun and the apparent sun could not be perceived in the observations, but that the form of computation and of the proofs would become free from difficulty if the sun's mean motion were taken.",1.0,[],"[Ptolemy, the mean motion, the difference, the mean sun, the apparent sun, the observations, the form, computation, the proofs, difficulty, the sun's mean motion]",0
64,"Copernicus and Tycho followed Ptolemy, carrying over his assumptions.",1.0,"[('Copernicus', 'NAME')]","[Copernicus, Tycho, Ptolemy, his assumptions]",0
65,"I, as you see in Ch.",1.0,[],"[I, you, Ch]",0
66,"15 of my Mysterium cosmographicum, instead establish the apparent position, the true body of the sun, as my reference point, and will vindicate that position with proofs in Parts 4 and 5 of this work.",1.0,[],"[my Mysterium cosmographicum, the apparent position, the true body, the sun, my reference point, that position, proofs, Parts, this work]",0
67,"But before that, I shall prove in this first part that one who substitutes the sun's apparent for its mean motion establishes a completely different orbit for the planet in the aether, whichever of the more celebrated opinions of the world he follows.",1.0,"[('orbit', 'ASTR'), ('aether', 'ASTR')]","[I, this first part, one, who, its mean motion, a completely different orbit, the planet, the aether, the more celebrated opinions, the world, he]",0
68,"Since this proof depends upon the equivalence of hypotheses, we shall begin with this equivalence.",1.0,[],"[this proof, the equivalence, hypotheses, we, this equivalence]",0
69,Chapter 2,2.0,[],[Chapter],0
70,"On the first and simple equivalence, that of the eccentric and the concentric with an epicycle, and their physical causes.",2.0,"[('eccentric', 'ASTR'), ('epicycle', 'ASTR')]","[the first and simple equivalence, the concentric, an epicycle, their physical causes]",0
71,"And now, to begin, I take up the equivalence of hypotheses adopted to save [the appearances of] the first inequality,1 which were demonstrated by Ptolemy in Book III and by Copernicus in Book III Ch.",2.0,"[('Copernicus', 'NAME')]","[I, the equivalence, hypotheses, [the appearances, the first inequality,1, Ptolemy, Book III, Copernicus, Book III Ch]",0
72,15.,2.0,[],[],0
73,"There, an eccentric is shown to square accounts with an epicycle on a concentric, provided, that is, that the line of apsides in the eccentric and the line through the center of the epicycle and the planet on the concentric always remain parallel, and that the semidiameter of the epicycle in the latter is equal to the eccentricity in the former, while the semidiameters of eccentric and concentric are equal.",2.0,"[('eccentric', 'ASTR'), ('epicycle', 'ASTR'), ('apsides', 'ASTR'), ('eccentric', 'ASTR'), ('epicycle', 'ASTR'), ('epicycle', 'ASTR'), ('eccentricity', 'ASTR'), ('eccentric', 'ASTR')]","[an eccentric, square accounts, an epicycle, a concentric, the line, apsides, the line, the center, the epicycle, the planet, the concentric, the semidiameter, the epicycle, the eccentricity, the semidiameters, concentric]",0
74,"And also provided that, in the former, the planet is moved uniformly on its eccentric, so as to traverse equal arcs in equal times.",2.0,"[('eccentric', 'ASTR')]","[the planet, its eccentric, equal arcs, equal times]",0
75,"First, let A be the position of the observer and the center of the concentric BB on which is the epicycle BC, BE.",2.0,"[('epicycle', 'ASTR')]","[A, the position, the observer, the center, the concentric BB, the epicycle BC]",0
76,"Let the arcs between two B's, or the angles BAB, be equal, and the planet be first at C, then at E and G, with the lines BE, BG parallel to BC.",2.0,[],"[the arcs, two B, the angles, BAB, the planet, C, E, G, the lines, BG, BC]",0
77,"Next, let β be the center of the eccentric γζ, with βγ, βε equal to AB, and let α be the point at which the observer is, and βα (the eccentricity) be equal to the semidiameter of the epicycle BC, BE, and parallel to them.",2.0,"[('eccentric', 'ASTR'), ('eccentricity', 'ASTR'), ('epicycle', 'ASTR')]","[the center, the eccentric γζ, βγ, AB, the point, the observer, the eccentricity, the semidiameter, the epicycle BC, BE, them]",0
78,"Also, let the arcs γε, γζ, that is, the angles γβε γβζ, be equal both among themselves and to the former angles BAB.",2.0,[],"[the arcs, the angles, themselves, the former angles, BAB]",0
79,"I say that the distances AC, αγ, are equal, and likewise AE to αε, AG to αη, AD to αδ, AH to αθ, and AF to αζ; and again, that the angles EAC, εαγ are equal; and that in each instance the planet, although its motion is uniform, will appear from A, α slow at C, γ, and swift at D, δ. As I said, Ptolemy demonstrated this in Book III, so there is no need for further discussion.",2.0,[],"[I, the distances, AC, αε, αη, the angles, EAC, εαγ, each instance, its motion, A, C, γ, D, I, Ptolemy, Book III, no need, further discussion]",0
80,"To geometers, the diagram speaks for itself, and others may go to Ptolemy.",2.0,"[('diagram', 'ASTR')]","[geometers, the diagram, itself, others, Ptolemy]",0
81,"As for the physical accounts of these models, there is a greater difference between the two.",2.0,[],"[the physical accounts, these models, a greater difference]",0
82,"That this may be very clear, it must be researched at somewhat greater depth, in one way from Peurbach2 using Aristotle's principles, and in another way from Tycho.",2.0,"[('Aristotle', 'NAME')]","[it, somewhat greater depth, one way, Peurbach2, Aristotle's principles, another way, Tycho]",0
83,"Ptolemy has described these circles to us in their bare form, such as geometry applied to the observations shows.",2.0,[],"[Ptolemy, these circles, us, their bare form, geometry, the observations, shows]",0
84,"Peurbach set up a way for them to be traversed that follows Aristotle, who attempted this same thing upon the geometrical suppositions of Eudoxus and Calippus, by which they had treated their astronomy.",2.0,"[('Peurbach', 'NAME'), ('Aristotle', 'NAME')]","[Peurbach, a way, them, Aristotle, who, this same thing, the geometrical suppositions, Eudoxus, Calippus, they, their astronomy]",0
85,"And while these authors used 25 orbs to demonstrate all the inequalities of the planets, Aristotle (since he believed the heavens to be filled with solid orbs)3 thought that 24 other revolving orbs had to be interposed in order to free each lower orb from the revolving effect which, on account of the contiguity of surfaces, it was going to receive from the orb above it.",2.0,"[('Aristotle', 'NAME'), ('orb', 'ASTR'), ('orb', 'ASTR')]","[these authors, 25 orbs, all the inequalities, the planets, Aristotle, he, the heavens, solid orbs)3, 24 other revolving orbs, order, each lower orb, the revolving effect, account, the contiguity, surfaces, it, the orb, it]",0
86,"So, having thus accumulated 49 orbs in all (or 53 or 55, following Calippus), he attributed to each its own mover.",2.0,[],"[49 orbs, Calippus, he, each its own mover]",0
87,Any one of these would be responsible for the perfectly uniform motion of its own orb and all inferior ones which it encompassed.,2.0,"[('orb', 'ASTR')]","[Any one, the perfectly uniform motion, its own orb, all inferior ones, it]",0
88,"This motion would take place inside the closest surrounding superior orb, as if in a sort of place,4 and from the mover would proceed a constant determination [ratio] of both the direction in which the motion was to occur, and the swiftness with which the orb was to return to its starting position.",2.0,"[('orb', 'ASTR'), ('orb', 'ASTR')]","[This motion, place, the closest surrounding superior orb, a sort, place,4, the mover, a constant determination, [ratio, both the direction, the motion, the orb, its starting position]",0
89,"Moreover, since that philosopher held the motion to be eternal, he also stipulated that the movers  were eternal.",2.0,[],"[that philosopher, the motion, he, the movers]",0
90,"Since they created motion for an infinite time, and since Aristotle knew that nothing material could receive the form of infinity, he maintained that they are also immaterial, and separable principles, and consequently immobile.",2.0,"[('Aristotle', 'NAME')]","[they, motion, an infinite time, Aristotle, nothing material, the form, infinity, he, they]",0
91,"Also, since he had constructed the world's eternity from the eternity of motion, and this duration of essence, the goodness and perfection of the whole world, was opposed to destruction, which was bad, he therefore attributed to those principles the highest perfection and the understanding thereof, and from good understanding the will to see it accomplished, lest the good not be done well.",2.0,[],"[he, the world's eternity, the eternity, motion, this duration, essence, the goodness, perfection, the whole world, destruction, he, those principles, the highest perfection, the understanding, good understanding, the will, it, the good]",0
92,"In this way, he introduced to us separate minds which, it turned out, were gods, as the perpetual administrators of the heavens' motions.",2.0,[],"[this way, he, us, separate minds, it, gods, the perpetual administrators, the heavens' motions]",0
93,"They also bestowed a moving soul [anima motrix], more closely attached to the orbs and giving them form, so that the mind would only have to give assistance.",2.0,[],"[They, a moving soul, [anima motrix, the orbs, them, form, the mind, assistance]",0
94,"This was either because it seemed necessary that the mover and the moving thing have some common ground, or because the potentiality, considered in relation to the distance to be traversed, should not be infinite, just as there exists no infinite motion, but only motion through a certain space in a certain time.",2.0,[],"[it, the mover, the moving thing, some common ground, the potentiality, relation, the distance, no infinite motion, a certain space, a certain time]",0
95,"They therefore transferred this potentiality for creating motion to a soul, for the meantime becoming subject to matter for the purpose of inhering in the orbs of the heavens.",2.0,[],"[They, this potentiality, motion, a soul, the meantime, the purpose, the orbs, the heavens]",0
96,"Now this coupling of mind and soul is indeed quite in agreement with the detailed considerations of the astronomers, even though the philosophers' mode of argument is chiefly metaphysical.",2.0,[],"[this coupling, mind, soul, agreement, the detailed considerations, the astronomers, the philosophers' mode, argument]",0
97,For it is the same in humans: the moving faculty is one thing; that which makes use of the moving faculty according to the indications of the senses—the Will—is another.,2.0,[],"[it, humans, the moving faculty, one thing, use, the moving faculty, the indications, the senses, the Will—]",0
98,"The senses differ from the moving faculty both in the means they use and in the excellence of their structure, which in the organs of sense is more admirable than in the seats of the motive faculty.",2.0,[],"[The senses, the moving faculty, the means, they, the excellence, their structure, the organs, sense, the seats, the motive faculty]",0
99,"Similarly, if we should propose these Aristotelian orbs as objects of contemplation, two things will present themselves to us: 1) the motive force, sufficient for the round orb, from whose activity and constant strength the time of revolution arises; 2) the direction in which it acts.",2.0,"[('Aristotelian', 'NAME'), ('orb', 'ASTR')]","[we, these Aristotelian orbs, objects, contemplation, two things, themselves, us, 1) the motive force, the round orb, whose activity, constant strength, the time, revolution, the direction, it]",0
100,"The former is more correctly ascribed to the animate faculty, and the latter to its intelligent or remembering nature.",2.0,[],"[the animate faculty, its intelligent or remembering nature]",0
101,"Now although through this solidity of orbs all motions or celestial appearances are so provided for that nothing is left to the providence of the presiding movers, while the whole variety of motions is a consequence of the number and disposition of the orbs; an although nothing else is required but that the moving souls receive and retain their activity and be set going from the first moment of creation in whatever direction is theirs, sent forth from their prisons, as it were, into space;5 nevertheless, it must be kept in mind that there is need of the supreme mind to launch any of the planets in its own direction, as if into its fixed and proper province.",2.0,[],"[this solidity, orbs, all motions, celestial appearances, nothing, the providence, the presiding movers, the whole variety, motions, a consequence, the number, disposition, the orbs, nothing, the moving souls, their activity, the first moment, creation, whatever direction, theirs, their prisons, it, space;5, it, mind, need, the supreme mind, the planets, its own direction, its fixed and proper province]",0
102,"Aristotle, who knew nothing of the world's beginning and did not",2.0,"[('Aristotle', 'NAME')]","[Aristotle, who, nothing, the world's beginning]",0
103,"believe in it, of necessity ascribed this function instead to the governors of the motions.",2.0,[],"[it, necessity, this function, the governors, the motions]",0
104,"The followers of Aristotle, and even Scaliger,6 who professes to be a Christian, openly contend that this motion of the orbs is voluntary, and that the principle of volition for them is intellectual intuition and desire.",2.0,"[('Aristotle', 'NAME'), ('Scaliger,6', 'NAME')]","[The followers, Aristotle, who, a Christian, this motion, the orbs, the principle, volition, them, intellectual intuition, desire]",0
105,"So, to return to Peurbach, certain others along with him (chiefly authors of books on the sphere), explain the first model by imagining for themselves one solid concentric orb of the thickness of the whole epicycle, with an epicycle  in it, and in the epicycle a planet.",2.0,"[('Peurbach', 'NAME'), ('orb', 'ASTR'), ('epicycle', 'ASTR'), ('epicycle', 'ASTR'), ('epicycle', 'ASTR')]","[Peurbach, certain others, him, (chiefly authors, books, the sphere, the first model, themselves, one solid concentric orb, the thickness, the whole epicycle, an epicycle, it, the epicycle]",0
106,"Then they attributed two moving souls to these two orbs (if they should carry through with their physical considerations), both with the same amount of power, proportionally, so that they would complete their periods in the same time, although moving in opposite directions.",2.0,[],"[they, two moving souls, these two orbs, they, their physical considerations, the same amount, power, they, their periods, the same time, opposite directions]",0
107,"The other model requires two deferents (which remain motionless so long as we abide by the simplicity of the motions, mentally removing the progression of the apogees), and one orb with the thickness of the planetary body.",2.0,"[('orb', 'ASTR')]","[The other model, two deferents, we, the simplicity, the motions, the progression, the apogees, one orb, the thickness, the planetary body]",0
108,In this orb is a soul which drives it around with a uniform effort in that direction in which it was projected in the beginning.,2.0,"[('orb', 'ASTR')]","[this orb, a soul, it, a uniform effort, that direction, it, the beginning]",0
109,"Thus, if this solidity of the orbs and the other assumptions be granted, in the first model BC and BE will remain parallel, and in the second, the orb γε will go around the center β, even though the movers in the former pay no attention to AC, nor in the latter, to β. For they are governed by material necessity or by the arrangement and contiguity of the orbs.",2.0,"[('orb', 'ASTR')]","[this solidity, the orbs, the other assumptions, the first model, BC, BE, the orb, γε, the center, β, the movers, no attention, AC, β, they, material necessity, the arrangement, contiguity, the orbs]",0
